code,label_en,usage_count,full_uri
BEI,European Investment Bank (EIB),695,http://publications.europa.eu/resource/authority/subject-matter/BEI
SANI,Health and safety,671,http://publications.europa.eu/resource/authority/subject-matter/SANI
TDCF,CCT: franchise,652,http://publications.europa.eu/resource/authority/subject-matter/TDCF
INV,Investments,639,http://publications.europa.eu/resource/authority/subject-matter/INV
DECH,Waste,614,http://publications.europa.eu/resource/authority/subject-matter/DECH
HUMA,Humanitarian aid,597,http://publications.europa.eu/resource/authority/subject-matter/HUMA
CECA,ECSC matters,585,http://publications.europa.eu/resource/authority/subject-matter/CECA
ALCO,Alcohol,569,http://publications.europa.eu/resource/authority/subject-matter/ALCO
PRAT,Concerted practices,562,http://publications.europa.eu/resource/authority/subject-matter/PRAT
PRET,Loans and subsidies,554,http://publications.europa.eu/resource/authority/subject-matter/PRET
PIND,Industrial policy,516,http://publications.europa.eu/resource/authority/subject-matter/PIND
COMB,Fuels,513,http://publications.europa.eu/resource/authority/subject-matter/COMB
SILV,Forestry,499,http://publications.europa.eu/resource/authority/subject-matter/SILV
HORS,Non-Annex II EEC Treaty products,493,http://publications.europa.eu/resource/authority/subject-matter/HORS
COMP,Accession compensatory amounts,478,http://publications.europa.eu/resource/authority/subject-matter/COMP
ACCD,Access to documents,472,http://publications.europa.eu/resource/authority/subject-matter/ACCD
P-F,Plants and flowers,452,http://publications.europa.eu/resource/authority/subject-matter/P-F
IDST,Scientific and technical information and documentation,451,http://publications.europa.eu/resource/authority/subject-matter/IDST
DOM,French overseas departments,450,http://publications.europa.eu/resource/authority/subject-matter/DOM
SPOR,Sport,449,http://publications.europa.eu/resource/authority/subject-matter/SPOR
TDCS,Customs duties: suspensions,442,http://publications.europa.eu/resource/authority/subject-matter/TDCS
OMC,World Trade Organization,442,http://publications.europa.eu/resource/authority/subject-matter/OMC
TOUR,Tourism,438,http://publications.europa.eu/resource/authority/subject-matter/TOUR
IMPK,Provisions implementing Article 95 - ECSC,436,http://publications.europa.eu/resource/authority/subject-matter/IMPK
FEADER,Agricultural structural funds,432,http://publications.europa.eu/resource/authority/subject-matter/FEADER
EURO,Euro,429,http://publications.europa.eu/resource/authority/subject-matter/EURO
POIS,Peas and field beans,424,http://publications.europa.eu/resource/authority/subject-matter/POIS
ACIN,International agreements,408,http://publications.europa.eu/resource/authority/subject-matter/ACIN
COPO,Police cooperation,403,http://publications.europa.eu/resource/authority/subject-matter/COPO
FDES,Dry fodder,403,http://publications.europa.eu/resource/authority/subject-matter/FDES
EXCL,Exclusive agreements,392,http://publications.europa.eu/resource/authority/subject-matter/EXCL
HOUB,Hops,378,http://publications.europa.eu/resource/authority/subject-matter/HOUB
DIFF,Dissemination of information,363,http://publications.europa.eu/resource/authority/subject-matter/DIFF
RESP,Non-contractual liability,357,http://publications.europa.eu/resource/authority/subject-matter/RESP
HARM,Harmonisation of laws,356,http://publications.europa.eu/resource/authority/subject-matter/HARM
HART,Harmonisation of customs law: Community transit,345,http://publications.europa.eu/resource/authority/subject-matter/HART
COMT,Brussels Convention of 27 September 1968 - Jurisdiction,344,http://publications.europa.eu/resource/authority/subject-matter/COMT
COTO,Cotton,341,http://publications.europa.eu/resource/authority/subject-matter/COTO
FRON,Border checks,332,http://publications.europa.eu/resource/authority/subject-matter/FRON
ACCE,Accession to agreement,321,http://publications.europa.eu/resource/authority/subject-matter/ACCE
L-CH,Flax and hemp,316,http://publications.europa.eu/resource/authority/subject-matter/L-CH
DEMO,Designs,316,http://publications.europa.eu/resource/authority/subject-matter/DEMO
IGCA,General customs aspects,305,http://publications.europa.eu/resource/authority/subject-matter/IGCA
ADAP,Adjustment,304,http://publications.europa.eu/resource/authority/subject-matter/ADAP
DROIT,General principles of Community law,301,http://publications.europa.eu/resource/authority/subject-matter/DROIT
NAT,Non-discrimination on grounds of nationality,301,http://publications.europa.eu/resource/authority/subject-matter/NAT
ENTC,Joint undertakings,300,http://publications.europa.eu/resource/authority/subject-matter/ENTC
PROC,Procedural provisions,288,http://publications.europa.eu/resource/authority/subject-matter/PROC
PRIX,Prices,276,http://publications.europa.eu/resource/authority/subject-matter/PRIX
IFAQ,Fisheries and aquaculture,274,http://publications.europa.eu/resource/authority/subject-matter/IFAQ
ICHR,Chemicals and related,270,http://publications.europa.eu/resource/authority/subject-matter/ICHR
c_c55af8ef,"Banknotes and coins, means of payment and currency matters",269,http://publications.europa.eu/resource/authority/subject-matter/c_c55af8ef
ENCO,Agreements and concentrations,263,http://publications.europa.eu/resource/authority/subject-matter/ENCO
INTE,Internal taxation,262,http://publications.europa.eu/resource/authority/subject-matter/INTE
IVAT,Value Added Tax,261,http://publications.europa.eu/resource/authority/subject-matter/IVAT
IPHE,Plant health,259,http://publications.europa.eu/resource/authority/subject-matter/IPHE
MNOP,State monopolies of a commercial character,258,http://publications.europa.eu/resource/authority/subject-matter/MNOP
BPAI,Balance of payments,256,http://publications.europa.eu/resource/authority/subject-matter/BPAI
COHE,Cohesion Fund,247,http://publications.europa.eu/resource/authority/subject-matter/COHE
c_8c4a6e26,Monetary financing prohibition,245,http://publications.europa.eu/resource/authority/subject-matter/c_8c4a6e26
SEBC,European system of central banks,238,http://publications.europa.eu/resource/authority/subject-matter/SEBC
RDOU,Customs procedures,235,http://publications.europa.eu/resource/authority/subject-matter/RDOU
QUOT,Production quotas,226,http://publications.europa.eu/resource/authority/subject-matter/QUOT
APPR,Supply agency,214,http://publications.europa.eu/resource/authority/subject-matter/APPR
IGGP,Goods – general provisions,211,http://publications.europa.eu/resource/authority/subject-matter/IGGP
ACCI,Excise duties,204,http://publications.europa.eu/resource/authority/subject-matter/ACCI
IEEE,"Environment, energy efficiency",203,http://publications.europa.eu/resource/authority/subject-matter/IEEE
ANCO,Non-trade agreement,198,http://publications.europa.eu/resource/authority/subject-matter/ANCO
IMEP,Medicinal products,195,http://publications.europa.eu/resource/authority/subject-matter/IMEP
c_02507fc0,"Monetary, financial institutions and markets statistics",192,http://publications.europa.eu/resource/authority/subject-matter/c_02507fc0
HARX,Harmonisation of customs law: various,191,http://publications.europa.eu/resource/authority/subject-matter/HARX
COAD,Administrative cooperation,191,http://publications.europa.eu/resource/authority/subject-matter/COAD
MEXT,Products from third countries,190,http://publications.europa.eu/resource/authority/subject-matter/MEXT
PDET,Potatoes,189,http://publications.europa.eu/resource/authority/subject-matter/PDET
c_cd441130,Payment and settlement systems,186,http://publications.europa.eu/resource/authority/subject-matter/c_cd441130
VA,Value for customs purposes,183,http://publications.europa.eu/resource/authority/subject-matter/VA
DIPL,External action by the Union,182,http://publications.europa.eu/resource/authority/subject-matter/DIPL
IRDA,Integration of the German Democratic Republic (GDR),182,http://publications.europa.eu/resource/authority/subject-matter/IRDA
DDES,Right of entry and residence,181,http://publications.europa.eu/resource/authority/subject-matter/DDES
EXEC,Brussels Convention of 27 September 1968 - Enforcement,180,http://publications.europa.eu/resource/authority/subject-matter/EXEC
